Designator,Footprint,Quantity,Value,LCSC Part #
BT1,Molex_PicoBlade_53398-0271_1x02-1MP_P1.25mm_Vertical,1,Vbatt,C122410
"C10, C9",0603,2,4.7uF,C69182
"C11, C12, C13, C15, C6",0603,5,1uF,C59302
"C7, C8",0603,2,22nF,C77571
"J2, J3, J4, J5",Molex_PicoBlade_53398-0271_1x02-1MP_P1.25mm_Vertical,4,Conn_01x02,C122410
J6,Molex_PicoBlade_53398-0471_1x04-1MP_P1.25mm_Vertical,1,Conn_01x04,C234195
L2,1206,1,6.8uH,C3223943
Q1,SOT-23,1,PNP,C2147
"R1, R3",0402,2,200k,C25764
R4,0402,1,100k,C25530
R5,0402,1,1.3k,C25866
"R6, R7",0402,2,10K,C25531
U2,MSOP-16-1EP_3x4.039mm_P0.5mm_EP1.651x2.845mm_ThermalVias,1,~,C684231
U3,TSOT-23-8_HandSoldering,1,~,C687184
"U4, U6",TSSOP-16_4.4x5mm_P0.65mm,2,INA260,C2155885
